date,open,high,low,close,volume,average,barCount
2011-08-17 15:59:00,5.17,5.17,5.16,5.16,385,5.1622,35
2011-08-17 15:58:00,5.18,5.18,5.16,5.16,520,5.171,73
2011-08-17 15:57:00,5.18,5.18,5.18,5.18,165,5.1818,13
2011-08-17 15:56:00,5.18,5.18,5.18,5.18,90,5.1778,17
2011-08-17 15:55:00,5.18,5.18,5.18,5.18,160,5.1796,31
2011-08-17 15:54:00,5.17,5.18,5.17,5.17,180,5.1772,33
2011-08-17 15:53:00,5.18,5.18,5.17,5.17,165,5.1766,31
2011-08-17 15:52:00,5.17,5.18,5.17,5.18,70,5.1770000000000005,14
2011-08-17 15:51:00,5.18,5.18,5.17,5.17,225,5.1746,38
2011-08-17 15:50:00,5.17,5.18,5.17,5.18,690,5.1806,46
2011-08-17 15:49:00,5.17,5.18,5.17,5.17,115,5.1738,23
2011-08-17 15:48:00,5.17,5.18,5.17,5.17,65,5.1738,12
2011-08-17 15:47:00,5.17,5.18,5.17,5.17,70,5.1744,14
2011-08-17 15:46:00,5.17,5.18,5.17,5.17,75,5.1706,13
2011-08-17 15:45:00,5.17,5.17,5.16,5.17,145,5.1654,29
2011-08-17 15:44:00,5.17,5.17,5.16,5.17,95,5.1652,16
2011-08-17 15:43:00,5.17,5.17,5.16,5.16,40,5.1622,8
2011-08-17 15:42:00,5.16,5.17,5.16,5.17,40,5.1608,8
2011-08-17 15:41:00,5.14,5.15,5.14,5.15,90,5.146,18
2011-08-17 15:40:00,5.16,5.17,5.13,5.14,520,5.1442,61
2011-08-17 15:39:00,5.14,5.16,5.14,5.16,140,5.1488,23
2011-08-17 15:38:00,5.14,5.14,5.14,5.14,45,5.1396,9
2011-08-17 15:37:00,5.14,5.14,5.14,5.14,65,5.1396,13
2011-08-17 15:36:00,5.11,5.14,5.1,5.14,840,5.1222,142
2011-08-17 15:35:00,5.11,5.12,5.11,5.11,30,5.1136,6
2011-08-17 15:34:00,5.12,5.12,5.11,5.11,145,5.1172,26
2011-08-17 15:33:00,5.13,5.13,5.12,5.12,85,5.1236,16
2011-08-17 15:32:00,5.13,5.13,5.13,5.13,5,5.127999999999999,1
2011-08-17 15:31:00,5.13,5.13,5.13,5.13,75,5.127000000000001,12
2011-08-17 15:30:00,5.14,5.14,5.13,5.13,60,5.1298,11
2011-08-17 15:29:00,5.15,5.15,5.14,5.14,490,5.1404,44
